Year,BROKERAGE-1 $Future(mean),BROKERAGE-1 $Future(median),BROKERAGE-1 $Future(p10),BROKERAGE-1 $Future(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Future(mean),BROKERAGE-1__agg_nom $Future(median),BROKERAGE-1__agg_nom $Future(p10),BROKERAGE-1__agg_nom $Future(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Future(mean),BROKERAGE-1__agg_nom_med $Future(median),BROKERAGE-1__agg_nom_med $Future(p10),BROKERAGE-1__agg_nom_med $Future(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Future(mean),BROKERAGE-1__agg_real $Future(median),BROKERAGE-1__agg_real $Future(p10),BROKERAGE-1__agg_real $Future(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Future(mean),BROKERAGE-1__inv_med $Future(median),BROKERAGE-1__inv_med $Future(p10),BROKERAGE-1__inv_med $Future(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Future(mean),BROKERAGE-2 $Future(median),BROKERAGE-2 $Future(p10),BROKERAGE-2 $Future(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Future(mean),BROKERAGE-2__agg_nom $Future(median),BROKERAGE-2__agg_nom $Future(p10),BROKERAGE-2__agg_nom $Future(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Future(mean),BROKERAGE-2__agg_nom_med $Future(median),BROKERAGE-2__agg_nom_med $Future(p10),BROKERAGE-2__agg_nom_med $Future(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Future(mean),BROKERAGE-2__agg_real $Future(median),BROKERAGE-2__agg_real $Future(p10),BROKERAGE-2__agg_real $Future(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Future(mean),BROKERAGE-2__inv_med $Future(median),BROKERAGE-2__inv_med $Future(p10),BROKERAGE-2__inv_med $Future(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Future(mean),ROTH_IRA-1 $Future(median),ROTH_IRA-1 $Future(p10),ROTH_IRA-1 $Future(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Future(mean),ROTH_IRA-1__agg_nom $Future(median),ROTH_IRA-1__agg_nom $Future(p10),ROTH_IRA-1__agg_nom $Future(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Future(mean),ROTH_IRA-1__agg_nom_med $Future(median),ROTH_IRA-1__agg_nom_med $Future(p10),ROTH_IRA-1__agg_nom_med $Future(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Future(mean),ROTH_IRA-1__agg_real $Future(median),ROTH_IRA-1__agg_real $Future(p10),ROTH_IRA-1__agg_real $Future(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Future(mean),ROTH_IRA-1__inv_med $Future(median),ROTH_IRA-1__inv_med $Future(p10),ROTH_IRA-1__inv_med $Future(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Future(mean),ROTH_IRA-2 $Future(median),ROTH_IRA-2 $Future(p10),ROTH_IRA-2 $Future(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Future(mean),ROTH_IRA-2__agg_nom $Future(median),ROTH_IRA-2__agg_nom $Future(p10),ROTH_IRA-2__agg_nom $Future(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Future(mean),ROTH_IRA-2__agg_nom_med $Future(median),ROTH_IRA-2__agg_nom_med $Future(p10),ROTH_IRA-2__agg_nom_med $Future(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Future(mean),ROTH_IRA-2__agg_real $Future(median),ROTH_IRA-2__agg_real $Future(p10),ROTH_IRA-2__agg_real $Future(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Future(mean),ROTH_IRA-2__inv_med $Future(median),ROTH_IRA-2__inv_med $Future(p10),ROTH_IRA-2__inv_med $Future(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Future(mean),TRAD_IRA-1 $Future(median),TRAD_IRA-1 $Future(p10),TRAD_IRA-1 $Future(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Future(mean),TRAD_IRA-1__agg_nom $Future(median),TRAD_IRA-1__agg_nom $Future(p10),TRAD_IRA-1__agg_nom $Future(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Future(mean),TRAD_IRA-1__agg_nom_med $Future(median),TRAD_IRA-1__agg_nom_med $Future(p10),TRAD_IRA-1__agg_nom_med $Future(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Future(mean),TRAD_IRA-1__agg_real $Future(median),TRAD_IRA-1__agg_real $Future(p10),TRAD_IRA-1__agg_real $Future(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Future(mean),TRAD_IRA-1__inv_med $Future(median),TRAD_IRA-1__inv_med $Future(p10),TRAD_IRA-1__inv_med $Future(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Future(mean),TRAD_IRA-2 $Future(median),TRAD_IRA-2 $Future(p10),TRAD_IRA-2 $Future(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Future(mean),TRAD_IRA-2__agg_nom $Future(median),TRAD_IRA-2__agg_nom $Future(p10),TRAD_IRA-2__agg_nom $Future(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Future(mean),TRAD_IRA-2__agg_nom_med $Future(median),TRAD_IRA-2__agg_nom_med $Future(p10),TRAD_IRA-2__agg_nom_med $Future(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Future(mean),TRAD_IRA-2__agg_real $Future(median),TRAD_IRA-2__agg_real $Future(p10),TRAD_IRA-2__agg_real $Future(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Future(mean),TRAD_IRA-2__inv_med $Future(median),TRAD_IRA-2__inv_med $Future(p10),TRAD_IRA-2__inv_med $Future(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,427325,425973,406466,449381,6.00%,2.91%,,,,,-14.53%,,,,,,-14.81%,,,,,,-17.02%,,,,,,5.73%,,264991,264315,254561,276019,6.00%,2.91%,,,,,6.00%,,,,,,5.73%,,,,,,2.91%,,,,,,5.73%,,286984,287391,275897,299174,7.77%,4.64%,,,,,14.79%,,,,,,14.96%,,,,,,11.45%,,,,,,7.94%,,114793,114956,110359,119669,7.77%,4.64%,,,,,14.79%,,,,,,14.96%,,,,,,11.45%,,,,,,7.94%,,2119318,2113551,2032248,2212848,6.78%,3.67%,,,,,5.97%,,,,,,5.68%,,,,,,2.88%,,,,,,6.50%,,1059659,1056775,1016124,1106424,6.78%,3.67%,,,,,5.97%,,,,,,5.68%,,,,,,2.88%,,,,,,6.50%,
2,451439,450244,423316,480702,6.31%,3.22%,,,,,5.64%,,,,,,5.76%,,,,,,2.57%,,,,,,6.44%,,281713,281086,265900,296621,6.31%,3.22%,,,,,6.31%,,,,,,6.44%,,,,,,3.22%,,,,,,6.44%,,329671,327631,314195,348638,8.58%,5.42%,,,,,14.89%,,,,,,14.93%,,,,,,11.54%,,,,,,8.57%,,131868,131052,125678,139455,8.58%,5.42%,,,,,14.89%,,,,,,14.93%,,,,,,11.54%,,,,,,8.57%,,2151855,2146518,2024879,2284627,7.19%,4.07%,,,,,1.53%,,,,,,1.55%,,,,,,-1.43%,,,,,,7.08%,,1127381,1124712,1063893,1193767,7.19%,4.07%,,,,,6.39%,,,,,,6.30%,,,,,,3.29%,,,,,,7.08%,
3,476471,471918,439107,518039,6.18%,3.79%,,,,,5.53%,,,,,,5.17%,,,,,,3.15%,,,,,,5.80%,,299158,297193,276998,324318,6.18%,3.79%,,,,,6.18%,,,,,,5.80%,,,,,,3.79%,,,,,,5.80%,,375128,374742,349979,401559,8.18%,5.74%,,,,,13.79%,,,,,,13.35%,,,,,,11.23%,,,,,,7.87%,,150051,149897,139991,160623,8.18%,5.74%,,,,,13.79%,,,,,,13.35%,,,,,,11.23%,,,,,,7.87%,,2180247,2164715,2005189,2375916,6.99%,4.58%,,,,,1.29%,,,,,,1.32%,,,,,,-0.98%,,,,,,6.84%,,1197403,1189701,1108454,1296574,6.99%,4.58%,,,,,6.20%,,,,,,6.07%,,,,,,3.81%,,,,,,6.84%,
4,506264,504556,458113,557159,6.89%,4.48%,,,,,6.25%,,,,,,6.14%,,,,,,3.86%,,,,,,6.82%,,319754,318992,291456,347061,6.89%,4.48%,,,,,6.89%,,,,,,6.82%,,,,,,4.48%,,,,,,6.82%,,425908,426007,393921,456671,8.50%,6.06%,,,,,13.56%,,,,,,13.39%,,,,,,11.01%,,,,,,8.38%,,170363,170402,157568,182668,8.50%,6.06%,,,,,13.56%,,,,,,13.39%,,,,,,11.01%,,,,,,8.38%,,2223464,2214175,1997418,2446876,7.70%,5.28%,,,,,1.96%,,,,,,2.09%,,,,,,-0.34%,,,,,,7.81%,,1280280,1275898,1165109,1395813,7.70%,5.28%,,,,,6.92%,,,,,,7.00%,,,,,,4.51%,,,,,,7.81%,
5,537093,536285,488910,592694,6.71%,4.31%,,,,,6.10%,,,,,,6.00%,,,,,,3.71%,,,,,,6.55%,,341189,340606,313362,372666,6.71%,4.31%,,,,,6.71%,,,,,,6.55%,,,,,,4.31%,,,,,,6.55%,,482030,481280,444057,520281,8.64%,6.20%,,,,,13.20%,,,,,,13.27%,,,,,,10.65%,,,,,,8.78%,,192812,192512,177623,208112,8.64%,6.20%,,,,,13.20%,,,,,,13.27%,,,,,,10.65%,,,,,,8.78%,,2263154,2256650,2030335,2530599,7.52%,5.10%,,,,,1.76%,,,,,,1.67%,,,,,,-0.53%,,,,,,7.37%,,1366584,1364093,1244239,1506880,7.52%,5.10%,,,,,6.74%,,,,,,6.64%,,,,,,4.34%,,,,,,7.37%,
6,569762,564545,516548,633128,6.72%,4.32%,,,,,6.13%,,,,,,5.85%,,,,,,3.74%,,,,,,6.41%,,363979,360523,330984,399605,6.72%,4.32%,,,,,6.72%,,,,,,6.41%,,,,,,4.32%,,,,,,6.41%,,542217,537955,503341,589763,8.43%,5.99%,,,,,12.55%,,,,,,12.51%,,,,,,10.02%,,,,,,8.43%,,216887,215182,201336,235905,8.43%,5.99%,,,,,12.55%,,,,,,12.51%,,,,,,10.02%,,,,,,8.43%,,2301915,2279233,2052107,2574832,7.51%,5.09%,,,,,1.72%,,,,,,1.44%,,,,,,-0.57%,,,,,,7.17%,,1458144,1447163,1320028,1603756,7.51%,5.09%,,,,,6.74%,,,,,,6.42%,,,,,,4.34%,,,,,,7.17%,
7,604955,598921,540761,672844,6.78%,4.38%,,,,,6.20%,,,,,,6.18%,,,,,,3.81%,,,,,,6.74%,,388561,385504,349551,430107,6.78%,4.38%,,,,,6.78%,,,,,,6.74%,,,,,,4.38%,,,,,,6.74%,,609614,605251,560468,665990,8.73%,6.28%,,,,,12.48%,,,,,,12.53%,,,,,,9.95%,,,,,,8.75%,,243845,242100,224187,266396,8.73%,6.28%,,,,,12.48%,,,,,,12.53%,,,,,,9.95%,,,,,,8.75%,,2343467,2335989,2031337,2647459,7.60%,5.18%,,,,,1.79%,,,,,,2.07%,,,,,,-0.50%,,,,,,7.84%,,1557579,1550314,1384486,1726710,7.60%,5.18%,,,,,6.84%,,,,,,7.10%,,,,,,4.44%,,,,,,7.84%,
8,639868,637744,558126,720608,6.29%,3.90%,,,,,5.73%,,,,,,5.76%,,,,,,3.35%,,,,,,6.35%,,413144,411983,362924,460004,6.29%,3.90%,,,,,6.29%,,,,,,6.35%,,,,,,3.90%,,,,,,6.35%,,679655,676192,620331,743783,8.07%,5.64%,,,,,11.48%,,,,,,11.58%,,,,,,8.97%,,,,,,8.04%,,271862,270477,248132,297513,8.07%,5.64%,,,,,11.48%,,,,,,11.58%,,,,,,8.97%,,,,,,8.04%,,2376365,2364800,2012031,2747801,7.14%,4.74%,,,,,1.31%,,,,,,1.39%,,,,,,-0.97%,,,,,,7.10%,,1657781,1650598,1451017,1857624,7.14%,4.74%,,,,,6.39%,,,,,,6.36%,,,,,,4.00%,,,,,,7.10%,
9,676198,673624,585075,781443,6.19%,3.80%,,,,,5.65%,,,,,,5.72%,,,,,,3.27%,,,,,,6.27%,,438837,436239,382080,505715,6.19%,3.80%,,,,,6.19%,,,,,,6.27%,,,,,,3.80%,,,,,,6.27%,,757153,753586,682097,834908,8.26%,5.82%,,,,,11.39%,,,,,,11.44%,,,,,,8.89%,,,,,,8.25%,,302861,301434,272838,333963,8.26%,5.82%,,,,,11.39%,,,,,,11.44%,,,,,,8.89%,,,,,,8.25%,,2405510,2376986,1988946,2850515,7.01%,4.60%,,,,,1.12%,,,,,,1.10%,,,,,,-1.15%,,,,,,6.94%,,1762156,1748905,1527445,2018998,7.01%,4.60%,,,,,6.26%,,,,,,6.24%,,,,,,3.87%,,,,,,6.94%,
10,712422,711776,613358,814159,5.83%,3.45%,,,,,5.30%,,,,,,4.89%,,,,,,2.93%,,,,,,5.43%,,464631,465963,401558,525689,5.83%,3.45%,,,,,5.83%,,,,,,5.43%,,,,,,3.45%,,,,,,5.43%,,836851,826014,752551,937321,7.64%,5.22%,,,,,10.52%,,,,,,10.16%,,,,,,8.04%,,,,,,7.33%,,334740,330405,301020,374928,7.64%,5.22%,,,,,10.52%,,,,,,10.16%,,,,,,8.04%,,,,,,7.33%,,2425934,2397209,1974455,2881488,6.66%,4.26%,,,,,0.70%,,,,,,0.52%,,,,,,-1.56%,,,,,,6.52%,,1867297,1867140,1602769,2117367,6.66%,4.26%,,,,,5.92%,,,,,,5.74%,,,,,,3.54%,,,,,,6.52%,
11,751715,750413,641897,863403,6.02%,3.54%,,,,,5.51%,,,,,,5.62%,,,,,,3.03%,,,,,,6.13%,,492644,491605,423086,564033,6.02%,3.54%,,,,,6.02%,,,,,,6.13%,,,,,,3.54%,,,,,,6.13%,,925386,914765,823814,1037933,7.92%,5.39%,,,,,10.60%,,,,,,10.31%,,,,,,8.00%,,,,,,7.67%,,370154,365906,329525,415173,7.92%,5.39%,,,,,10.60%,,,,,,10.31%,,,,,,8.00%,,,,,,7.67%,,2449174,2425933,1975479,2934690,6.89%,4.39%,,,,,0.84%,,,,,,0.68%,,,,,,-1.53%,,,,,,6.80%,,1982449,1962715,1694404,2270662,6.89%,4.39%,,,,,6.16%,,,,,,6.06%,,,,,,3.67%,,,,,,6.80%,
12,798384,793152,671472,928851,6.71%,4.21%,,,,,6.20%,,,,,,6.07%,,,,,,3.71%,,,,,,6.58%,,525708,520730,445775,608813,6.71%,4.21%,,,,,6.71%,,,,,,6.58%,,,,,,4.21%,,,,,,6.58%,,1027052,1018815,912560,1154460,8.52%,5.98%,,,,,11.00%,,,,,,11.16%,,,,,,8.40%,,,,,,8.74%,,410820,407526,365024,461784,8.52%,5.98%,,,,,11.00%,,,,,,11.16%,,,,,,8.40%,,,,,,8.74%,,2485385,2432679,1926176,3051103,7.49%,4.97%,,,,,1.34%,,,,,,1.26%,,,,,,-1.03%,,,,,,7.40%,,2116596,2073836,1787797,2465145,7.49%,4.97%,,,,,6.76%,,,,,,6.57%,,,,,,4.25%,,,,,,7.40%,
